track_id,track_name,track_artists
31d3tVd82tx2sjA2VQ3PMZ,Lagdi Lahore Di,"Guru Randhawa,Tulsi Kumar"
4H5KzyUiJBDulnNBClGAai,High Rated Gabru,Guru Randhawa
73y649QhnXdcm6fRdvfraO,Abhi Mujh Mein Kahin,"Ajay-Atul,Sonu Nigam"
15gS3AvoWjgwLGcZ0aKn34,"Shukriya (Rendition) (From ""Sadak 2"")","Jeet Gannguli,Arijit Singh,Jubin Nautiyal,KK"
0tpwqQhdfJXRcUDSNRjb9O,"Mere Yaaraa (From ""Sooryavanshi"")","Arijit Singh,Neeti Mohan,Rashmi Virag"
1DsQyEshUaan0BBb7fUQHr,Tere Binaa,Mustafa Zahid
5O9jxRlG72h1sYxtqWwUcF,Shiddat Title Track,Manan Bhardwaj
7x6x9UbIh0yEYxnVzhEsdr,Ishq Kamaal,"Suniljeet,Javed Ali"
2cC4DfpPa7x1QZTKQpe3TP,"Tumse Bhi Zyada (From ""Tadap"")","Pritam,Arijit Singh"
2wJ9d1Gfj8OqcznPAroqvh,Lo Maan Liya,Arijit Singh
0oyXtweTvTKBU8YlQFma0G,"Salamat (From ""Sarbjit"") (feat. Arijit Singh, Tulsi Kumar)","Amaal Mallik,Arijit Singh,Tulsi Kumar"
3BihWIQQasks0bzaSwhCjT,Aaj Jane Ki Zid Na Karo,Monu Music India
6nDFhdxDZBbwEDbsJYVdqS,"Marjaawaan (From ""BellBottom"")","Gurnazar,Asees Kaur"
2RKGtM8v2JM72Gyo1wLmgg,Khyaal Rakhya Kar,"Neha Kakkar,Rajat Nagpal"
